"Time (s)","Fx (N)","Fy (N)","Fz (N)","Tx (Nm)","Ty (Nm)","Tz (Nm)","AI7 (V)","AI8 (V)"
1.215000,0.010399,-0.010012,-0.028206,-0.000293,-0.000202,-0.000156,0.001866,-0.003972
1.220000,-0.005561,0.006980,-0.046760,0.000183,0.000043,0.000128,0.002514,0.002514
1.225000,-0.015591,-0.006340,0.010428,-0.000347,-0.000500,0.000172,0.002514,0.000244
1.230000,0.016556,0.000664,-0.020584,-0.000280,-0.000105,0.000187,0.001866,-0.001702
1.235000,-0.001722,-0.000459,0.002408,0.000236,-0.000311,-0.000210,0.002838,0.001217
1.240000,-0.025535,0.018631,-0.032428,-0.000401,-0.000230,0.000344,0.003163,0.001866
1.245000,0.016583,-0.006373,-0.033972,-0.000319,-0.000212,0.000183,0.002514,0.000568
1.250000,0.016373,0.000759,-0.007852,0.000422,-0.000085,-0.000145,0.003163,0.003163
1.255000,-0.019722,-0.004016,0.002965,-0.000430,-0.000200,-0.000051,0.002514,0.000244
1.260000,0.000583,0.005603,-0.056726,-0.000484,0.000016,0.000321,0.001217,0.000893
1.265000,0.002575,0.018660,-0.063315,0.000005,-0.000143,0.000271,0.002190,0.002190
1.270000,-0.015505,0.010340,-0.029341,-0.000215,-0.000423,0.000289,0.001866,-0.001053
1.275000,-0.003524,-0.001466,-0.050459,-0.000427,0.000097,0.000151,0.001541,0.000244
1.280000,0.010485,0.006758,-0.047477,0.000078,-0.000047,0.000048,0.002838,0.000244
1.285000,-0.015666,0.005539,-0.027088,-0.000244,-0.000144,-0.000019,0.003487,-0.002026
1.290000,0.012660,-0.015555,-0.039839,-0.000269,-0.000076,0.000405,0.001541,-0.001377
1.295000,0.006387,0.015980,-0.041324,0.000078,-0.000386,-0.000178,0.002838,-0.001702
1.300000,-0.017588,0.006801,-0.043369,-0.000330,-0.000187,0.000119,0.002838,-0.003972
1.305000,-0.009489,-0.007140,-0.056492,-0.000312,0.000159,0.000288,0.002514,-0.001702
1.310000,0.002608,0.014009,-0.080021,-0.000069,-0.000112,0.000296,0.002838,-0.000080
1.315000,-0.011602,0.000682,-0.023713,-0.000365,-0.000550,0.000005,0.003487,-0.002026
1.320000,0.006484,-0.000239,-0.033707,0.000094,0.000005,0.000130,0.001866,0.000893
1.325000,-0.001419,0.011704,-0.083337,-0.000033,-0.000116,0.000266,0.002514,0.000568
1.330000,-0.003553,-0.001710,-0.047573,-0.000526,-0.000454,-0.000023,0.002838,-0.000729
1.335000,-0.001501,0.011645,-0.043285,-0.000074,0.000296,0.000272,0.002190,0.001866
1.340000,0.024517,-0.001755,-0.017780,0.000076,-0.000374,-0.000007,0.002514,0.003811
1.345000,-0.017546,0.002193,-0.059912,-0.000215,-0.000323,0.000144,0.003163,-0.001377
1.350000,-0.001459,0.013952,-0.056672,-0.000251,0.000187,0.000298,0.001866,0.002838
1.355000,0.004407,0.000880,-0.047718,0.000049,-0.000010,-0.000068,0.002514,0.001541
1.360000,-0.009489,-0.002653,-0.053356,-0.000338,-0.000476,0.000172,0.003487,0.000244
1.365000,-0.001562,-0.004971,-0.023612,-0.000208,0.000220,0.000154,0.002514,0.001217
1.370000,0.010566,0.016245,-0.057069,-0.000105,0.000199,0.000247,0.003163,0.000244
1.375000,-0.011607,-0.001625,-0.044062,-0.000521,-0.000298,-0.000024,0.003811,-0.002350
